5.000, -77.433  Modified MOPS outer stratum
4.917	-77.4     starts at 5N along coast to south,
  0.000    0.000  Isla Pinta
  0.641   90.775
  0.541   90.725
  0.554   90.779
  0.641   90.775
  0.000    0.000  Isla Marchena
  0.391   90.479
  0.320   90.400
  0.279   90.479
  0.341   90.541
  0.391   90.479
  0.000    0.000  Isla Genovesa
  0.345   89.945
  0.325   89.933
  0.300   89.950
  0.320   89.975
  0.345   89.945
  0.000    0.000
  -.717   89.317  Isla San Cristobal
  -.683   89.283
  -.716   89.241    Punta Pitt; easternmost point
  -.800   89.283
  -.833   89.317
  -.967   89.433
  -.967   89.517
  -.917   89.600
  -.833   89.600
  -.800   89.517
  -.767   89.433
  -.717   89.400
  -.717   89.317
  0.000    0.000  Isla Espa¤ola
 -1.341   89.662
 -1.382   89.616
 -1.395   89.683    southernmost point
 -1.366   89.745
 -1.341   89.662
  0.000    0.000  Isla Floreana (Santa Mar¡a)
 -1.216   90.425
 -1.270   90.354
 -1.358   90.441
 -1.316   90.508
 -1.216   90.425
 0.000   0.000      Isla Fernandina
  -.295   91.675    Cabo Douglas; westernmost point
  -.283   91.433    
  -.367   91.400
  -.483   91.400
  -.483   91.517
  -.483   91.600
  -.400   91.600
  -.317   91.600
  -.317   91.567
  -.317   91.433
  -.295   91.675   
  0.0000    0.0000   Isla Isabela
  .1666  -91.3416   Punta Albemarle
  .1600  -91.3416    Punta Albemarle
  .1416  -91.3250 
  .1333  -91.3083
  .0625  -91.2875
 -.0166  -91.2125
 -.0208  -91.2000    Cabo Marshall
 -.1541  -91.1958
 -.2708  -91.1208
 -.3000  -91.1000
 -.2966  -91.1083
 -.4166  -90.9666
 -.4166  -90.9541    Punta Alfaro
 -.4291  -90.9375
 -.4500  -90.9541
 -.5000  -90.9458
 -.5541  -90.9541
 -.5750  -90.9791
 -.5750  -90.9500
 -.6083  -90.9541    Bah¡a Cartago
 -.6208  -90.9208    Bah¡a Cartago
 -.6000  -90.8916    Cabo Barrington
 -.7000  -90.8500
 -.7500  -90.7791    Cabo Woodford
 -.7833  -90.8208
 -.9083  -90.8500    Punta Veintimilla
 -.9083  -90.8791
 -.9583  -90.9291    Punta Lober¡a
 -.9500  -90.9750    Puerto Villamil
 -1.045  -91.1666    Cabo Rosa
 -1.025  -91.2250
 -1.020  -91.3750
 -.9958  -91.4416    Punta Essex
 -.9458  -91.4541    Caleta Iguana
 -.9166  -91.5083    Punta Cristobal
 -.8416  -91.4833
 -.6875  -91.3208    Punta Moreno
 -.6875  -91.2500
 -.6583  -91.2166
 -.6875  -91.1833
 -.6083  -91.0708    Istmo Perry
 -.4791  -91.2250
 -.3875  -91.2250    Bah¡a Urvina
 -.3791  -91.2625
 -.2625  -91.3833    Punta Tortuga
 -.0500  -91.4125
 -.0216  -91.4291
 -.0125  -91.4750
 -.0525  -91.5666    Punta Vicente Roca
  .0000  -91.5916    Cabo Berkeley
  .0416  -91.5291
  .1083  -91.4750
  .1250  -91.3916
  .1666  -91.3416   Punta Albemarle
 0.0000    0.0000   ROCA REDONDA
  .2783  -91.6250   northern end
  .2750  -91.6208   eastern end
  .2708  -91.6250   southern end
  .2750  -91.6291   western end
  .2783  -91.6250   northern end   
  0.000    0.000  Isla Santiago
  -.200   90.683 
  -.200   90.800
  -.283   90.833
  -.367   90.833
  -.367   90.800
  -.400   90.683
  -.400   90.633
  -.317   90.600
  -.233   90.600
  -.200   90.683
  0.000    0.000  Isla Baltra
 -0.404   90.283
 -0.458   90.250
 -0.475   90.291
 -0.404   90.283
  0.000    0.000  Isla Santa Cruz
  -.483   90.167
  -.517   90.167
  -.567   90.167
  -.600   90.167
  -.633   90.167
  -.683   90.167
  -.717   90.200
  -.717   90.233
  -.767   90.233
  -.767   90.283
  -.717   90.400
  -.683   90.433
  -.600   90.433
  -.567   90.433
  -.483   90.400
  -.483   90.317
  -.483   90.283
  -.483   90.200
  -.483   90.167
  0.000    0.000  Isla Santa F‚
 -0.791   90.041
 -0.833   90.033
 -0.816   90.087
 -0.791   90.087
 -0.791   90.041
  0.000    0.000  Isla Pinz¢n
 -0.583   90.666
 -0.612   90.641
 -0.629   90.658
 -0.600   90.687
 -0.583   90.666
  0.000    0.000  Isla R bida
 -0.391   90.704
 -0.412   90.695
 -0.425   90.704
 -0.412   90.716
 -0.391   90.704
