25.0000000 -112.8647460        Polygon of outer stratum for STAR surveys 1998-2000
25.0000000 -120.0000000        (excludes coastal strip)
 5.0000000 -120.0000000
-6.2633512  -81.2083321
-6.3047729  -81.2041895
-6.4041777  -81.1906485
-6.4336250  -81.1833267
-6.4373059  -81.1815042
-6.4655337  -81.1500015
-6.5366788  -81.0530058
-6.5697989  -81.1114537
-6.5738765  -81.1125656
-6.6691437  -81.1385184
-6.7022548  -81.1321955
-6.7150521  -81.1166687
-6.7208259  -81.1020361
-6.6989865  -80.9833374
-6.6915530  -80.9607728
-6.6691437  -80.9511526
-6.6681105  -80.9510372
-6.6360307  -80.9512872
-6.6340213  -80.9479748
-6.6317147  -80.9166718
-6.6477348  -80.8617929
-6.6549524  -80.8500137
-6.6691437  -80.8349351
-6.7022548  -80.8352153
-6.9008718  -80.8890726
-6.9154471  -80.9019950
-6.9157469  -80.9166718
-6.9058455  -80.9499969
-6.8965842  -80.9876545
-6.8922460  -81.0166626
-6.9008718  -81.0239694
-7.0001574  -81.0721641
-7.0332451  -81.0584775
-7.0376954  -81.0544878
-7.0400043  -81.0500031
-7.0512911  -81.0166626
-7.0705455  -80.9499969
-7.1559331  -80.9282775
-7.1706905  -80.9505386
-7.2028737  -80.9722137
-7.2408333  -80.9798203
-7.2787900  -80.9722137
-7.3109651  -80.9505386
-7.3324628  -80.9180984
-7.3373561  -80.8932966
-7.3586709  -80.8887028
-7.3970528  -80.8777847
-7.4412928  -80.8612855
-7.5147345  -80.8313431
-7.5292797  -80.8238177
-7.5363925  -80.8166733
-7.5380794  -80.7922157
-7.6086534  -80.7300643
-7.6284194  -80.7181273
-7.9917293  -80.5286492
-8.0232066  -80.5182206
-8.0247421  -80.5179048
-8.0577517  -80.5282643
-8.0838156  -80.5500031
-8.0846238  -80.5562059
-8.0823368  -80.5833435
-8.0773364  -80.6031127
-8.0783856  -80.6166687
-8.0907660  -80.6323547
-8.1155195  -80.6500015
-8.1237707  -80.6521439
-8.1546511  -80.6521439
-8.1567726  -80.6520844
-8.1677723  -80.6500015
-8.1897717  -80.6410464
-8.2135282  -80.6260019
-8.4206867  -80.4851556
-8.4230997  -80.4833374
-8.4369554  -80.4664449
-8.4478012  -80.4499969
-8.4536638  -80.4393329
-8.4614490  -80.4166718
-8.4718555  -80.3500137
-8.4745986  -80.3288452
-8.4774346  -80.2833405
-8.4628228  -80.2500076
-8.4536638  -80.2410772
-8.4434596  -80.2269838
-8.4384721  -80.2166672
-8.4390073  -80.1833267
-8.4536638  -80.1590902
-8.4589161  -80.1553100
-8.4677948  -80.1500015
-8.4866362  -80.1442873
-8.5941628  -80.1412837
-8.6185045  -80.1468569
-8.7274146  -80.1268189
-9.0138340  -80.0646861
-9.1819231  -80.0202135
-9.1932341  -80.0166702
-9.2113342  -80.0090315
-9.2358535  -79.9833374
-9.2548869  -79.9607777
-9.2608530  -79.9499969
-9.2771511  -79.8979220
-9.2807495  -79.8833389
-9.2771511  -79.8724041
-9.2642888  -79.8630409
-9.2685239  -79.8500137
-9.2709727  -79.8437533
-9.2949170  -79.7833405
-9.3100510  -79.7607866
-9.3175894  -79.7576405
-9.3758402  -79.7334618
-9.5073843  -79.6939007
-9.5349138  -79.6887512
-9.5731382  -79.6874943
-9.5940563  -79.6954505
-9.6060095  -79.7028431
-9.6388769  -79.7201928
-9.6589854  -79.7296056
-9.6925908  -79.7166672
-9.7046051  -79.7107322
-9.7351308  -79.6833267
-9.7374640  -79.6810416
-9.7719874  -79.6439084
-9.7986669  -79.6292992
-9.8018779  -79.6277796
-9.8141282  -79.6210954
-9.8166836  -79.6192615
-9.8201699  -79.6166687
-9.8250786  -79.6128753
-9.8360291  -79.6031750
-9.8454107  -79.5944519
-9.8469772  -79.5927940
-9.8536229  -79.5833435
-9.8689466  -79.5611216
-9.8728989  -79.5540961
-9.8749913  -79.5500107
-9.8798211  -79.5387233
-9.8838984  -79.5277837
-9.8858013  -79.5217129
-9.8873516  -79.5166702
-9.8870752  -79.5152079
-9.9080985  -79.4992338
-9.9152195  -79.4938231
-9.9017162  -79.4385583
-9.9017162  -79.3833389
-9.9231780  -79.3166733
-9.9236094  -79.3156222
-9.9270983  -79.3091019
-9.9297793  -79.3055598
-9.9783363  -79.2535521
-10.179607  -79.0988519
-10.186212  -79.0943586
-10.219023  -79.0761038
-10.226586  -79.0722326
-10.229959  -79.0712547
-10.231060  -79.0711143
-10.240894  -79.0710085
-10.242085  -79.0710225
-10.263361  -79.0722326
-10.273699  -79.0805801
-10.276972  -79.0833435
-10.284634  -79.0912228
-10.295568  -79.0933782
-10.304068  -79.0919796
