Island,lat,lon
OU,21.866975,-157.872016
OU,21.86686,-157.871798
OU,21.866516,-157.871146
OU,21.866402,-157.870932
OU,21.866212,-157.870576
OU,21.866102,-157.870371
OU,21.866031,-157.87024
OU,21.865902,-157.870002
OU,21.865648,-157.869538
OU,21.865496,-157.869261
OU,21.865041,-157.868438
OU,21.864888,-157.868165
OU,21.864634,-157.86771
OU,21.86448,-157.867437
OU,21.863636,-157.865949
OU,21.863533,-157.865769
OU,21.863326,-157.865409
OU,21.863223,-157.86523
OU,21.862806,-157.864513
OU,21.862702,-157.864334
OU,21.862491,-157.863977
OU,21.862386,-157.863799
OU,21.861538,-157.862376
OU,21.861432,-157.862198
OU,21.861218,-157.861843
OU,21.861111,-157.861666
OU,21.86068,-157.86096
OU,21.860571,-157.860783
OU,21.860354,-157.860431
OU,21.860245,-157.860255
OU,21.859368,-157.858852
OU,21.859258,-157.858677
OU,21.859037,-157.858328
OU,21.858926,-157.858153
OU,21.858481,-157.857457
OU,21.858369,-157.857283
OU,21.858145,-157.856936
OU,21.858032,-157.856763
OU,21.857127,-157.85538
OU,21.857013,-157.855208
OU,21.856785,-157.854864
OU,21.856671,-157.854692
OU,21.856211,-157.854006
OU,21.856096,-157.853835
OU,21.855865,-157.853493
OU,21.855748,-157.853323
OU,21.854816,-157.851962
OU,21.854658,-157.851734
OU,21.854341,-157.851279
OU,21.854182,-157.851052
OU,21.853542,-157.850147
OU,21.853381,-157.849921
OU,21.853058,-157.849471
OU,21.852896,-157.849246
OU,21.851592,-157.847457
OU,21.851428,-157.847233
OU,21.851099,-157.846788
OU,21.850933,-157.846567
OU,21.850269,-157.845682
OU,21.850102,-157.845461
OU,21.849767,-157.845022
OU,21.849598,-157.844802
OU,21.849262,-157.844367
OU,21.848967,-157.843981
OU,21.848778,-157.843735
OU,21.848241,-157.843039
OU,21.84805,-157.842792
OU,21.847747,-157.842403
OU,21.847521,-157.842113
OU,21.847385,-157.84194
OU,21.847097,-157.841575
OU,21.846267,-157.840529
OU,21.845065,-157.839024
OU,21.844896,-157.838814
OU,21.844559,-157.838398
OU,21.84439,-157.838191
OU,21.843712,-157.837367
OU,21.843542,-157.837161
OU,21.843201,-157.836752
OU,21.84303,-157.836548
OU,21.841657,-157.834925
OU,21.841484,-157.834722
OU,21.841138,-157.834319
OU,21.840965,-157.834118
OU,21.840267,-157.833317
OU,21.840092,-157.833117
OU,21.839741,-157.832719
OU,21.839565,-157.832521
OU,21.838474,-157.831302
OU,21.838337,-157.83115
OU,21.838063,-157.830847
OU,21.837925,-157.830696
OU,21.837374,-157.830094
OU,21.837235,-157.829943
