6
BD-KaNi
4411.7
26.4006 161.7030
25.8525 159.9046
25.3658 158.1168
24.7619 156.4810
24.0792 154.9488
23.2031 153.5142
22.0140 152.3627
21.6494 152.0678
OtherCNP
40014476.0
40.000  131.000
32.050  126.000
25.000  120.000
-5.000	120.000
-5.000  185.000
40.000	185.000
40.000  131.000
