Island,lon,lat
KaNi,-160.026,21.8041
KaNi,-160.052,21.7764
KaNi,-160.073,21.7582
KaNi,-160.083,21.7505
KaNi,-160.113,21.7315
KaNi,-160.126,21.7229
KaNi,-160.143,21.7146
KaNi,-160.164,21.7062
KaNi,-160.173,21.702
KaNi,-160.177,21.6985
KaNi,-160.182,21.6953
KaNi,-160.203,21.6883
KaNi,-160.208,21.6859
KaNi,-160.235,21.6843
OUFI,-158.39,21.5589
OUFI,-158.393,21.5627
OUFI,-158.397,21.5675
OUFI,-158.401,21.5711
OUFI,-158.404,21.5746
OUFI,-158.412,21.594
OUFI,-158.416,21.6007
OUFI,-158.417,21.618
OUFI,-158.417,21.6341
OUFI,-158.416,21.6485
OUFI,-158.414,21.6625
OUFI,-158.411,21.6873
OUFI,-158.408,21.6934
OUFI,-158.417,21.7131
OUFI,-158.428,21.7103
OUFI,-158.445,21.7043
OUFI,-158.454,21.6934
OUFI,-158.472,21.6737
OUFI,-158.485,21.681
OUFI,-158.491,21.6934
OUFI,-158.488,21.7054
OUFI,-158.488,21.7211
OUFI,-158.472,21.7352
OUFI,-158.463,21.7308
OUFI,-158.445,21.7321
OUFI,-158.434,21.7315
OUFI,-158.417,21.7266
OUFI,-158.403,21.7346
OUFI,-158.389,21.736
OUFI,-158.378,21.738
OUFI,-158.361,21.7386
OUFI,-158.353,21.7413
OUFI,-158.333,21.7415
OUFI,-158.313,21.7411
OUFI,-158.305,21.7403
OUFI,-158.288,21.7387
OUFI,-158.278,21.7389
OUFI,-158.255,21.7436
OUFI,-158.25,21.7442
OUFI,-158.242,21.7487
OUFI,-158.222,21.7558
OUFI,-158.207,21.7645
OUFI,-158.195,21.7714
OUFI,-158.187,21.7764
OUFI,-158.167,21.7856
OUFI,-158.14,21.803
OUFI,-158.111,21.8265
OUFI,-158.102,21.8317
OUFI,-158.089,21.8382
OUFI,-158.083,21.8406
OUFI,-158.068,21.8443
OUFI,-158.055,21.8462
OUFI,-158.043,21.8469
OUFI,-158.028,21.8478
